judge,method,presence,cardinality,layout_2d,depth_contact_occlusion,orientation_yaw,composition,spatial_macro,case_exact,diagnostic_exact,normal_exact,hard_exact
qwen38_diagnostic,t2i_blender_qwen,0.9662576687116564,0.9570552147239264,0.8766666666666667,0.9002339181286549,0.5882352941176471,0.8837209302325582,0.8142783257733939,0.7222222222222222,0.8333333333333334,0.8775510204081632,0.4857142857142857
gpt56_diagnostic,flux,0.99079754601227,0.9447852760736196,0.7566666666666667,0.9824561403508771,0.4411764705882353,0.8604651162790697,0.7754399764801883,0.5888888888888889,0.8333333333333334,0.7346938775510204,0.34285714285714286
gpt56_diagnostic,sdxl,0.8895705521472392,0.7760736196319018,0.5066666666666667,0.5409941520467837,0.4411764705882353,0.6046511627906976,0.5154149866801065,0.2,0.3333333333333333,0.30612244897959184,0.02857142857142857
gpt56_diagnostic,gligen,0.9631901840490797,0.9233128834355828,0.88,0.8069005847953217,0.35294117647058826,0.9069767441860465,0.7241951064391485,0.5888888888888889,1.0,0.673469387755102,0.4
gpt56_diagnostic,lmd_plus,0.9601226993865031,0.9079754601226994,0.9199999999999999,0.6144444444444445,0.35294117647058826,0.7906976744186046,0.6474891700866393,0.5555555555555556,1.0,0.6122448979591837,0.4
gpt56_diagnostic,boxdiff_xl,0.8496932515337423,0.8006134969325154,0.5900000000000001,0.645906432748538,0.44117647058823534,0.46511627906976744,0.5581485648114815,0.26666666666666666,0.5,0.3673469387755102,0.08571428571428572
gpt56_diagnostic,muses_qwen_rgb,1.0,0.9969325153374233,0.98,0.9866666666666667,0.5882352941176471,0.9534883720930233,0.8812448700410397,0.8222222222222222,1.0,0.8571428571428571,0.7428571428571429
gpt56_diagnostic,muses_qwen_sdxl,0.9723926380368099,0.8588957055214724,0.9199999999999999,0.8258479532163743,0.47058823529411764,0.8604651162790697,0.7648981808145534,0.45555555555555555,1.0,0.5306122448979592,0.2571428571428571
gpt56_diagnostic,muses_qwen_rgb_qwen_i2i,0.9938650306748467,0.9815950920245399,0.9166666666666667,0.9722222222222222,0.5,0.9302325581395349,0.8350290697674418,0.7666666666666667,0.8333333333333334,0.8163265306122449,0.6857142857142857
gpt56_diagnostic,t2i_blender_rgb,0.950920245398773,0.950920245398773,0.8366666666666667,0.89,0.5882352941176471,0.9069767441860465,0.8033475832193342,0.7333333333333333,0.8333333333333334,0.8367346938775511,0.5714285714285714
gpt56_diagnostic,t2i_blender_qwen,0.9693251533742331,0.9631901840490797,0.98,0.9177777777777778,0.5882352941176471,0.9069767441860465,0.8495975832193342,0.7777777777777778,1.0,0.8775510204081632,0.6
